"","No.","Time","Source","Destination","Protocol","Length","Info"
"147",147,1634729219.04419,"172.17.0.2","172.17.0.4","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%08/35=%00%00%01%7C%9DtS%E0/33=%00"
"1481",148,1634729219.04427,"172.17.0.2","172.17.0.5","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%08/35=%00%00%01%7C%9DtS%E0/33=%00"
"187",187,1634729228.67285,"172.17.0.2","172.17.0.4","UDP (NDN)",770,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%09/35=%00%00%01%7C%9Dty%7B/33=%00"
"188",188,1634729228.67293,"172.17.0.2","172.17.0.12","UDP (NDN)",770,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%09/35=%00%00%01%7C%9Dty%7B/33=%00"
"217",217,1634729232.43495,"172.17.0.2","172.17.0.5","UDP (NDN)",857,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%09/35=%00%00%01%7C%9Dt%881/33=%00"
"218",218,1634729232.43502,"172.17.0.2","172.17.0.12","UDP (NDN)",857,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%09/35=%00%00%01%7C%9Dt%881/33=%00"
"267",267,1634729241.91674,"172.17.0.2","172.17.0.5","UDP (NDN)",823,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0A/35=%00%00%01%7C%9Dt%AD4/33=%00"
"268",268,1634729241.91681,"172.17.0.2","172.17.0.12","UDP (NDN)",823,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0A/35=%00%00%01%7C%9Dt%AD4/33=%00"
"295",295,1634729246.63741,"172.17.0.2","172.17.0.4","UDP (NDN)",938,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%09/35=%00%00%01%7C%9Dt%BB%C0/33=%00"
"296",296,1634729246.63754,"172.17.0.2","172.17.0.5","UDP (NDN)",938,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%09/35=%00%00%01%7C%9Dt%BB%C0/33=%00"
"339",339,1634729254.94521,"172.17.0.2","172.17.0.4","UDP (NDN)",850,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%09/35=%00%00%01%7C%9Dt%E0%1D/33=%00"
"340",340,1634729254.94528,"172.17.0.2","172.17.0.5","UDP (NDN)",850,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%09/35=%00%00%01%7C%9Dt%E0%1D/33=%00"
"369",369,1634729258.71631,"172.17.0.2","172.17.0.4","UDP (NDN)",972,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%0A/35=%00%00%01%7C%9Dt%EE%D1/33=%00"
"370",370,1634729258.71642,"172.17.0.2","172.17.0.5","UDP (NDN)",972,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%0A/35=%00%00%01%7C%9Dt%EE%D1/33=%00"
"409",409,1634729268.53208,"172.17.0.2","172.17.0.4","UDP (NDN)",815,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0A/35=%00%00%01%7C%9Du%150/33=%00"
"410",410,1634729268.53213,"172.17.0.2","172.17.0.5","UDP (NDN)",815,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0A/35=%00%00%01%7C%9Du%150/33=%00"
"433",433,1634729272.23358,"172.17.0.2","172.17.0.4","UDP (NDN)",806,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0A/35=%00%00%01%7C%9Du%23%A4/33=%00"
"436",436,1634729272.23541,"172.17.0.2","172.17.0.12","UDP (NDN)",806,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0A/35=%00%00%01%7C%9Du%23%A4/33=%00"
"471",471,1634729281.61415,"172.17.0.2","172.17.0.5","UDP (NDN)",788,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0B/35=%00%00%01%7C%9DuHD/33=%00"
"472",472,1634729281.61427,"172.17.0.2","172.17.0.12","UDP (NDN)",788,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0B/35=%00%00%01%7C%9DuHD/33=%00"
"497",497,1634729285.32515,"172.17.0.2","172.17.0.4","UDP (NDN)",841,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0B/35=%00%00%01%7C%9DuV%C4/33=%00"
"498",498,1634729285.32522,"172.17.0.2","172.17.0.12","UDP (NDN)",841,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0B/35=%00%00%01%7C%9DuV%C4/33=%00"
"537",537,1634729295.1394,"172.17.0.2","172.17.0.4","UDP (NDN)",937,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%0B/35=%00%00%01%7C%9Du%7D%1D/33=%00"
"538",538,1634729295.13948,"172.17.0.2","172.17.0.5","UDP (NDN)",937,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%0B/35=%00%00%01%7C%9Du%7D%1D/33=%00"
"570",570,1634729298.81102,"172.17.0.2","172.17.0.4","UDP (NDN)",874,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0C/35=%00%00%01%7C%9Du%8Bx/33=%00"
"571",571,1634729298.81108,"172.17.0.2","172.17.0.12","UDP (NDN)",874,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0C/35=%00%00%01%7C%9Du%8Bx/33=%00"
"610",610,1634729308.82006,"172.17.0.2","172.17.0.4","UDP (NDN)",840,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0D/35=%00%00%01%7C%9Du%B2%8C/33=%00"
"611",611,1634729308.82012,"172.17.0.2","172.17.0.12","UDP (NDN)",840,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0D/35=%00%00%01%7C%9Du%B2%8C/33=%00"
