"","No.","Time","Source","Destination","Protocol","Length","Info"
"1848",1848,1634274354.32169,"172.17.0.2","172.17.0.9","UDP (NDN)",876,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%10/35=%00%00%01%7C%82W%A4%8C/33=%00"
"1880",1880,1634274358.04651,"172.17.0.2","172.17.0.4","UDP (NDN)",788,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%11/35=%00%00%01%7C%82W%B3%1C/33=%00"
"1881",1881,1634274358.04692,"172.17.0.2","172.17.0.9","UDP (NDN)",788,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%11/35=%00%00%01%7C%82W%B3%1C/33=%00"
"1940",1940,1634274368.34613,"172.17.0.2","172.17.0.9","UDP (NDN)",753,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%12/35=%00%00%01%7C%82W%DBW/33=%00"
"1949",1949,1634274369.34807,"172.17.0.2","172.17.0.4","UDP (NDN)",753,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%12/35=%00%00%01%7C%82W%DBW/33=%00"
"1950",1950,1634274369.34824,"172.17.0.2","172.17.0.3","UDP (NDN)",753,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%12/35=%00%00%01%7C%82W%DBW/33=%00"
"1975",1975,1634274372.04045,"172.17.0.2","172.17.0.4","UDP (NDN)",909,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%11/35=%00%00%01%7C%82W%E9%C2/33=%00"
"1976",1976,1634274372.04058,"172.17.0.2","172.17.0.9","UDP (NDN)",909,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%11/35=%00%00%01%7C%82W%E9%C2/33=%00"
"2053",2053,1634274382.63385,"172.17.0.2","172.17.0.4","UDP (NDN)",717,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%13/35=%00%00%01%7C%82X%13%27/33=%00"
"2054",2054,1634274382.6374,"172.17.0.2","172.17.0.9","UDP (NDN)",717,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%13/35=%00%00%01%7C%82X%13%27/33=%00"
"2096",2096,1634274387.3071,"172.17.0.2","172.17.0.3","UDP (NDN)",884,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0E/35=%00%00%01%7C%82X%21%7F/33=%00"
"2097",2097,1634274387.30721,"172.17.0.2","172.17.0.9","UDP (NDN)",884,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0E/35=%00%00%01%7C%82X%21%7F/33=%00"
"2152",2152,1634274396.33872,"172.17.0.2","172.17.0.4","UDP (NDN)",683,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%14/35=%00%00%01%7C%82XH%B0/33=%00"
"2153",2153,1634274396.33881,"172.17.0.2","172.17.0.9","UDP (NDN)",683,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%14/35=%00%00%01%7C%82XH%B0/33=%00"
